totalcountprotected,totalCountInsurance,totalPriceInsurance
0.228,0.996,0.32831325301204817
0.228,0.996,0.38755020080321284
0.228,0.996,0.38755020080321284
0.228,0.996,0.28815261044176704
0.228,0.996,0.19979919678714858
0.228,0.996,0.3534136546184739
0.228,0.996,0.38755020080321284
0.232,0.992,0.0655241935483871
0.228,0.996,0.03112449799196787
0.232,0.992,0.005040322580645161
0.228,0.996,0.0050200803212851405
0.232,0.992,0.011088709677419355
0.228,0.996,0.014056224899598393
0.232,0.992,0.02217741935483871
0.228,0.996,0.015060240963855422
0.232,0.992,0.012096774193548387
0.228,0.996,0.010040160642570281
0.232,0.992,0.004032258064516129
0.228,0.996,0.009036144578313253
0.232,0.992,0.005040322580645161
0.228,0.996,0.014056224899598393
0.232,0.992,0.010080645161290322
0.228,0.996,0.013052208835341365
0.232,0.992,0.017137096774193547
0.228,0.996,0.013052208835341365
0.232,0.992,0.0020161290322580645
0.228,0.996,0.008032128514056224
0.232,0.992,0.007056451612903226
0.226,0.998,0.01002004008016032
0.232,0.992,0.018145161290322582
0.224,1.0,0.033
0.23,0.994,0.05835010060362173
0.224,1.0,0.044
0.23,0.994,0.06539235412474849
0.224,1.0,0.029
0.23,0.994,0.004024144869215292
0.224,1.0,0.006
0.228,0.996,0.004016064257028112
0.224,1.0,0.003
0.228,0.996,0.004016064257028112
0.224,1.0,0.007
0.228,0.996,0.0050200803212851405
